i,j,"h(I,j)"
1,1,-16179000000.0
1,2,16179000000.0
1,85,8089400000.0
1,86,8089400000.0
2,1,16179000000.0
2,2,-32357000000.0
2,3,16179000000.0
2,85,-8089400000.0
2,87,8089400000.0
3,2,32858000000.0
3,3,-49037000000.0
3,4,16179000000.0
3,86,-16429000000.0
3,87,-8339500000.0
3,88,8089400000.0
4,3,18182000000.0
4,4,-34361000000.0
4,5,16179000000.0
4,87,-9090900000.0
4,88,-1001600000.0
4,89,8089400000.0
5,4,17562000000.0
5,5,-33740000000.0
5,6,16179000000.0
5,88,-8780800000.0
5,89,-691400000.0
5,90,8089400000.0
6,5,17829000000.0
6,6,-34008000000.0
6,7,16179000000.0
6,89,-8914600000.0
6,90,-825190000.0
6,91,8089400000.0
7,6,17295000000.0
7,7,-33474000000.0
7,8,16179000000.0
7,90,-8647600000.0
7,91,-558270000.0
7,92,8089400000.0
8,7,17567000000.0
8,8,-33746000000.0
8,9,16179000000.0
8,91,-8783500000.0
8,92,-694100000.0
8,93,8089400000.0
9,8,17333000000.0
9,9,-33512000000.0
9,10,16179000000.0
9,92,-8666600000.0
9,93,-577240000.0
9,94,8089400000.0
10,9,16668000000.0
10,10,-32846000000.0
10,11,16179000000.0
10,93,-8333900000.0
10,94,-244480000.0
10,95,8089400000.0
11,10,16765000000.0
11,11,-32943000000.0
11,12,16179000000.0
11,94,-8382300000.0
11,95,-292930000.0
11,96,8089400000.0
12,11,16728000000.0
12,12,-32907000000.0
12,13,16179000000.0
12,95,-8363900000.0
12,96,-274550000.0
12,97,8089400000.0
13,12,16160000000.0
13,13,-32339000000.0
13,14,16179000000.0
13,96,-8080100000.0
13,97,9294700.0
13,98,8089400000.0
14,13,16113000000.0
14,14,-32292000000.0
14,15,16179000000.0
14,97,-8056600000.0
14,98,32752000.0
14,99,8089400000.0
15,14,16211000000.0
15,15,-32390000000.0
15,16,16179000000.0
15,98,-8105500000.0
15,99,-16107000.0
15,100,8089400000.0
16,15,16196000000.0
16,16,-32375000000.0
16,17,16179000000.0
16,99,-8098000000.0
16,100,-8676100.0
16,101,8089400000.0
17,16,16049000000.0
17,17,-32228000000.0
17,18,16179000000.0
17,100,-8024700000.0
17,101,64660000.0
17,102,8089400000.0
18,17,15847000000.0
18,18,-32026000000.0
18,19,16179000000.0
18,101,-7923500000.0
18,102,165860000.0
18,103,8089400000.0
19,18,15801000000.0
19,19,-31980000000.0
19,20,16179000000.0
19,102,-7900400000.0
19,103,188990000.0
19,104,8089400000.0
20,19,15990000000.0
20,20,-32168000000.0
20,21,16179000000.0
20,103,-7994900000.0
20,104,94517000.0
20,105,8089400000.0
21,20,16160000000.0
21,21,-32338000000.0
21,22,16179000000.0
21,104,-8079800000.0
21,105,9592200.0
21,106,8089400000.0
22,21,16162000000.0
22,22,-32341000000.0
22,23,16179000000.0
22,105,-8081000000.0
22,106,8388200.0
22,107,8089400000.0
23,22,16173000000.0
23,23,-32351000000.0
23,24,16179000000.0
23,106,-8086400000.0
23,107,2994700.0
23,108,8089400000.0
24,23,16216000000.0
24,24,-32395000000.0
24,25,16179000000.0
24,107,-8108000000.0
24,108,-18607000.0
24,109,8089400000.0
25,24,15950000000.0
25,25,-32128000000.0
25,26,16179000000.0
25,108,-7974800000.0
25,109,114550000.0
25,110,8089400000.0
26,25,15544000000.0
26,26,-31723000000.0
26,27,16179000000.0
26,109,-7772000000.0
26,110,317340000.0
26,111,8089400000.0
27,26,15858000000.0
27,27,-32037000000.0
27,28,16179000000.0
27,110,-7928900000.0
27,111,160460000.0
27,112,8089400000.0
28,27,15961000000.0
28,28,-32140000000.0
