i,j,"H(i, j)"
1,1,-13043478260.869564
1,2,13043478260.869564
1,86,6521739130.434782
1,87,6521739130.434782
2,1,17685624888.852314
2,2,-30729103149.721874
2,3,13043478260.869564
2,86,-8842812444.426157
2,87,-2321073313.9913735
2,88,6521739130.434782
3,2,18410610063.591785
3,3,-31454088324.46135
3,4,13043478260.869564
3,87,-9205305031.795893
3,88,-2683565901.36111
3,89,6521739130.434782
4,3,16248098572.217852
4,4,-29291576833.087418
4,5,13043478260.869564
4,88,-8124049286.108926
4,89,-1602310155.674144
4,90,6521739130.434782
5,4,15694452432.733114
5,5,-28737930693.602676
5,6,13043478260.869564
5,89,-7847226216.366557
5,90,-1325487085.9317741
5,91,6521739130.434782
6,5,14552260291.585058
6,6,-27595738552.454624
6,7,13043478260.869564
6,90,-7276130145.792529
6,91,-754391015.3577476
6,92,6521739130.434782
7,6,14199761903.175549
7,7,-27243240164.045116
7,8,13043478260.869564
7,91,-7099880951.587774
7,92,-578141821.1529936
7,93,6521739130.434782
8,7,14210007663.231205
8,8,-27253485924.10077
8,9,13043478260.869564
8,92,-7105003831.6156025
8,93,-583264701.1808213
8,94,6521739130.434782
9,8,13962934708.478113
9,9,-27006412969.347675
9,10,13043478260.869564
9,93,-6981467354.239057
9,94,-459728223.8042749
9,95,6521739130.434782
10,9,13804436141.869356
10,10,-26847914402.73892
10,11,13043478260.869564
10,94,-6902218070.934678
10,95,-380478940.4998973
10,96,6521739130.434782
11,10,13543433208.374462
11,11,-26586911469.24403
11,12,13043478260.869564
11,95,-6771716604.187231
11,96,-249977473.75245008
11,97,6521739130.434782
12,11,13173641063.177824
12,12,-26217119324.04739
12,13,13043478260.869564
12,96,-6586820531.588912
12,97,-65081401.15413036
12,98,6521739130.434782
13,12,12968067022.77244
13,13,-26011545283.642002
13,14,13043478260.869564
13,97,-6484033511.38622
13,98,37705619.0485626
13,99,6521739130.434782
14,13,12989701866.826244
14,14,-26033180127.695805
14,15,13043478260.869564
14,98,-6494850933.413122
