i,j,H_ij
1,1,-13043000000.0
1,2,13043000000.0
1,86,6521700000.0
1,87,6521700000.0
2,1,17686000000.0
2,2,-30729000000.0
2,3,13043000000.0
2,86,-8842800000.0
2,87,-2321100000.0
2,88,6521700000.0
3,2,18411000000.0
3,3,-31454000000.0
3,4,13043000000.0
3,87,-9205300000.0
3,88,-2683600000.0
3,89,6521700000.0
4,3,16248000000.0
4,4,-29292000000.0
4,5,13043000000.0
4,88,-8124000000.0
4,89,-1602300000.0
4,90,6521700000.0
5,4,15694000000.0
5,5,-28738000000.0
5,6,13043000000.0
5,89,-7847200000.0
5,90,-1325500000.0
5,91,6521700000.0
6,5,14552000000.0
6,6,-27596000000.0
6,7,13043000000.0
6,90,-7276100000.0
6,91,-754390000.0
6,92,6521700000.0
7,6,14200000000.0
7,7,-27243000000.0
7,8,13043000000.0
7,91,-7099900000.0
7,92,-578140000.0
7,93,6521700000.0
8,7,14210000000.0
8,8,-27253000000.0
8,9,13043000000.0
8,92,-7105000000.0
8,93,-583260000.0
8,94,6521700000.0
9,8,13963000000.0
9,9,-27006000000.0
9,10,13043000000.0
9,93,-6981500000.0
9,94,-459730000.0
9,95,6521700000.0
10,9,13804000000.0
10,10,-26848000000.0
10,11,13043000000.0
10,94,-6902200000.0
10,95,-380480000.0
10,96,6521700000.0
11,10,13543000000.0
11,11,-26587000000.0
11,12,13043000000.0
11,95,-6771700000.0
11,96,-249980000.0
11,97,6521700000.0
12,11,13174000000.0
12,12,-26217000000.0
12,13,13043000000.0
12,96,-6586800000.0
12,97,-65081000.0
12,98,6521700000.0
13,12,12968000000.0
13,13,-26012000000.0
13,14,13043000000.0
13,97,-6484000000.0
13,98,37705000.0
13,99,6521700000.0
14,13,12990000000.0
14,14,-26033000000.0
14,15,13043000000.0
14,98,-6494900000.0
14,99,26888000.0
14,100,6521700000.0
15,14,13054000000.0
15,15,-26098000000.0
15,16,13043000000.0
15,99,-6527100000.0
15,100,-5387000.0
15,101,6521700000.0
16,15,13065000000.0
16,16,-26109000000.0
16,17,13043000000.0
16,100,-6532500000.0
16,101,-10783000.0
16,102,6521700000.0
17,16,13043000000.0
17,17,-26087000000.0
17,18,13043000000.0
17,101,-6521700000.0
17,103,6521700000.0
18,17,13043000000.0
18,18,-26087000000.0
18,19,13043000000.0
18,102,-6521700000.0
18,104,6521700000.0
19,18,13054000000.0
19,19,-26098000000.0
19,20,13043000000.0
19,103,-6527100000.0
19,104,-5394000.0
19,105,6521700000.0
20,19,13054000000.0
20,20,-26098000000.0
20,21,13043000000.0
20,104,-6527100000.0
20,105,-5395500.0
20,106,6521700000.0
21,20,13000000000.0
21,21,-26044000000.0
21,22,13043000000.0
21,105,-6500200000.0
21,106,21523000.0
21,107,6521700000.0
22,21,12926000000.0
22,22,-25969000000.0
22,23,13043000000.0
22,106,-6462900000.0
22,107,58839000.0
22,108,6521700000.0
23,22,12853000000.0
23,23,-25896000000.0
23,24,13043000000.0
23,107,-6426300000.0
23,108,95439000.0
23,109,6521700000.0
24,23,12781000000.0
24,24,-25825000000.0
24,25,13043000000.0
24,108,-6390700000.0
24,109,131030000.0
24,110,6521700000.0
25,24,12743000000.0
25,25,-25787000000.0
25,26,13043000000.0
25,109,-6371600000.0
25,110,150130000.0
25,111,6521700000.0
26,25,12767000000.0
26,26,-25810000000.0
26,27,13043000000.0
26,110,-6383400000.0
26,111,138350000.0
26,112,6521700000.0
27,26,12810000000.0
27,27,-25853000000.0
27,28,13043000000.0
27,111,-6404900000.0
27,112,116890000.0
27,113,6521700000.0
28,27,12802000000.0
28,28,-25845000000.0
28,29,13043000000.0
28,112,-6400900000.0
28,113,120820000.0
28,114,6521700000.0
29,28,12775000000.0
29,29,-25818000000.0
29,30,13043000000.0
29,113,-6387300000.0
29,114,134440000.0
29,115,6521700000.0
30,29,12729000000.0
30,30,-25772000000.0
30,31,13043000000.0
30,114,-6364500000.0
30,115,157260000.0
30,116,6521700000.0
31,30,12704000000.0
31,31,-25748000000.0
31,32,13043000000.0
31,115,-6352100000.0
31,116,169670000.0
31,117,6521700000.0
32,31,12699000000.0
32,32,-25743000000.0
32,33,13043000000.0
32,116,-6349600000.0
32,117,172180000.0
32,118,6521700000.0
33,32,12704000000.0
33,33,-25747000000.0
33,34,13043000000.0
33,117,-6351800000.0
33,118,169940000.0
33,119,6521700000.0
34,33,12681000000.0
34,34,-25724000000.0
34,35,13043000000.0
34,118,-6340300000.0
34,119,181440000.0
34,120,6521700000.0
35,34,12641000000.0
35,35,-25684000000.0
35,36,13043000000.0
35,119,-6320400000.0
35,120,201360000.0
35,121,6521700000.0
36,35,12585000000.0
36,36,-25629000000.0
36,37,13043000000.0
36,120,-6292700000.0
36,121,229010000.0
36,122,6521700000.0
37,36,12576000000.0
37,37,-25620000000.0
37,38,13043000000.0
37,121,-6288100000.0
37,122,233650000.0
37,123,6521700000.0
38,37,12610000000.0
38,38,-25653000000.0
38,39,13043000000.0
38,122,-6304900000.0
38,123,216870000.0
38,124,6521700000.0
39,38,12600000000.0
39,39,-25644000000.0
39,40,13043000000.0
39,123,-6300100000.0
39,124,221640000.0
39,125,6521700000.0
40,39,12510000000.0
40,40,-25554000000.0
40,41,13043000000.0
40,124,-6255100000.0
40,125,266670000.0
40,126,6521700000.0
41,40,12364000000.0
41,41,-25407000000.0
41,42,13043000000.0
41,125,-6182000000.0
41,126,339780000.0
41,127,6521700000.0
42,41,12261000000.0
42,42,-25304000000.0
42,43,13043000000.0
42,126,-6130400000.0
42,127,391370000.0
42,128,6521700000.0
43,42,12233000000.0
43,43,-25276000000.0
43,44,13043000000.0
43,127,-6116400000.0
43,128,405320000.0
43,129,6521700000.0
44,43,12222000000.0
44,44,-25266000000.0
44,45,13043000000.0
44,128,-6111100000.0
44,129,410600000.0
44,130,6521700000.0
45,44,12180000000.0
45,45,-25223000000.0
45,46,13043000000.0
45,129,-6089900000.0
45,130,431830000.0
45,131,6521700000.0
46,45,12130000000.0
46,46,-25173000000.0
46,47,13043000000.0
46,130,-6064800000.0
46,131,456920000.0
46,132,6521700000.0
47,46,12136000000.0
47,47,-25179000000.0
47,48,13043000000.0
47,131,-6067800000.0
47,132,453950000.0
47,133,6521700000.0
48,47,12178000000.0
48,48,-25222000000.0
48,49,13043000000.0
48,132,-6089100000.0
48,133,432640000.0
48,134,6521700000.0
49,48,12241000000.0
49,49,-25285000000.0
49,50,13043000000.0
49,133,-6120600000.0
49,134,401150000.0
49,135,6521700000.0
50,49,12259000000.0
50,50,-25303000000.0
50,51,13043000000.0
50,134,-6129700000.0
50,135,392040000.0
50,136,6521700000.0
51,50,12238000000.0
51,51,-25281000000.0
51,52,13043000000.0
51,135,-6119000000.0
51,136,402760000.0
51,137,6521700000.0
52,51,12251000000.0
52,52,-25295000000.0
52,53,13043000000.0
52,136,-6125700000.0
52,137,396060000.0
52,138,6521700000.0
53,52,12311000000.0
53,53,-25355000000.0
53,54,13043000000.0
53,137,-6155600000.0
53,138,366120000.0
53,139,6521700000.0
54,53,12255000000.0
54,54,-25299000000.0
54,55,13043000000.0
54,138,-6127600000.0
54,139,394160000.0
54,140,6521700000.0
55,54,12075000000.0
55,55,-25118000000.0
55,56,13043000000.0
55,139,-6037400000.0
55,140,484380000.0
55,141,6521700000.0
56,55,11972000000.0
56,56,-25015000000.0
56,57,13043000000.0
56,140,-5985900000.0
56,141,535810000.0
56,142,6521700000.0
57,56,12010000000.0
57,57,-25053000000.0
57,58,13043000000.0
57,141,-6004900000.0
57,142,516870000.0
57,143,6521700000.0
58,57,12091000000.0
58,58,-25135000000.0
58,59,13043000000.0
58,142,-6045700000.0
58,143,476020000.0
58,144,6521700000.0
59,58,12203000000.0
59,59,-25247000000.0
59,60,13043000000.0
59,143,-6101600000.0
59,144,420120000.0
